;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;
Depth;LcC or Uch;Abies;Picea;Pinus;Pinus (white);Ephedra;Pseudotsuga;TCT;Juniperus/Cupressus;Tsuga mertensiana;Tsuga heterophylla;Acer;Acer negundo;Quercus;Q. chrysolepis/Q. vaccinifolia;Aesculus;Lithocarpus/Castanopsis;Fraxinus;Juglans;Garrya;Platanus;Fremontia;Rosaceae;Adenostoma;Cercocarpus;Rhamnaceae;Ceanothus;Cephalanthus;Sambucus;Shepherdia;Elaeagnus;Sanguisorba;Ribes;Purshia;Salix;Myrica;Corylus;Alnus;Artemisia;Ambrosia;Liguliflorae;Compositae HS;Compositae LS;Ericaceae;Linaceae;Cruciferae;Arceuthobium;Caryophyllaceae;Malvaceae;Liliaceae;Leguminosae;Onagraceae;Labiatae;Salvia;Eriogonum;Polygonum amphibium;Polygonum californica;Vitis;Rumex ;Plantago;Polemoniaceae;Navarettia;Ranunculaceae;Umbelliferae;Rubiaceae;Thalictrum;Rhus;Lonicera;Amaranthaceae;Sarcobatus;Poaceae;Cyperaceae;Typha latifolia;Typha/Sparganium;Potamogeton;Isoetes;Equisetum;Myriophyllum;Ruppia;Nuphar hydropotes;Nuphar;Brasenia;Menyanthes;Dryopteris;Polypodium;Pteridium;Botrychium;Athyrium;Polystichum;Selaginella;Trilete;Monolete;Colonial fungi;Coprophilous fungi;Unknown A;Unknown B;Unknown C;Unknown D;Unknown E;Unknown F;Indeterminate;Other unknowns;Zea;Lycopodium;APFAC;Total Pollen and Spores
13,64;LcC;0;0;54;0;0;1;0;8;25;1;0;0;144;0;0;1;0;0;1;0;0;0;0;68;0;0;0;0;0;0;0;0;0;6;0;0;17;2;0;1;8;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;10;2;0;0;2;3;0;5;0;0;0;0;0;0;0;1;0;0;0;2;0;1;3;6;0;0;0;0;0;0;15;24;560;241;2085;422
14,56;LcC;1;0;55;0;0;1;26;5;0;2;0;0;109;12;2;5;4;0;0;0;0;7;0;79;3;1;0;0;0;0;0;0;0;10;0;1;22;4;0;1;15;1;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;3;0;1;2;0;0;1;0;1;0;7;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;25;0;0;0;0;0;0;26;30;310;223;2085;477
15,51;LcC;4;0;60;0;0;0;34;5;3;0;0;0;174;11;0;3;6;0;1;0;0;5;0;90;1;0;0;0;0;0;0;0;0;5;1;0;22;0;0;0;16;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;2;1;15;4;4;0;1;7;0;0;0;0;0;0;0;0;0;5;1;0;0;0;1;2;10;19;0;0;0;0;0;0;26;17;258;207;2085;561
16,48;LcC;5;1;69;0;0;0;39;3;1;0;2;1;153;4;0;4;4;0;0;0;0;8;0;86;0;1;0;0;0;0;0;0;0;5;0;0;24;2;2;0;15;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;10;4;5;0;0;3;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;3;21;0;0;0;0;0;0;0;0;288;231;2085;486
17,07;LcC;0;1;113;0;0;1;37;7;0;0;1;0;135;0;0;0;1;0;0;0;0;1;0;86;1;0;0;0;0;0;0;0;0;0;0;3;19;4;0;2;18;4;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;1;0;0;1;0;0;2;0;1;0;11;19;8;1;0;1;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;8;8;0;0;0;0;0;0;17;11;367;136;2085;531
17,52;LcC;0;2;58;0;0;0;39;4;1;1;1;0;162;0;0;3;4;0;1;0;0;0;0;65;0;0;0;0;0;0;0;0;0;10;0;1;18;1;0;0;21;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;7;20;8;5;0;2;0;1;0;0;0;0;0;0;0;1;1;0;0;0;3;0;1;15;0;0;0;0;0;0;12;15;206;169;2085;496
17,97;LcC;1;1;80;0;0;0;35;10;0;0;2;0;178;0;0;1;2;0;1;0;0;0;0;65;2;0;0;0;0;0;0;0;0;10;0;2;25;0;0;1;22;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;4;0;6;11;2;15;0;6;0;2;0;0;0;0;0;0;0;9;1;0;0;0;0;0;0;10;0;0;0;0;0;0;9;19;441;211;2085;541
18,53;LcC;1;2;85;0;0;0;29;5;0;1;0;0;116;0;0;2;6;0;0;0;0;0;0;74;0;1;0;0;0;0;0;0;0;7;0;1;27;0;0;1;16;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;5;0;2;0;3;13;2;0;0;8;0;0;0;0;0;0;0;1;0;7;0;0;0;0;0;0;3;13;0;0;0;0;0;0;13;12;658;247;2085;458
18,74;Uch;0;1;106;0;0;0;36;12;0;0;1;0;134;0;0;0;4;0;0;0;0;0;0;59;1;0;0;0;0;0;0;0;0;10;1;2;25;5;0;0;18;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;7;16;1;2;0;14;0;0;0;7;0;0;0;1;0;8;0;0;0;0;0;0;8;18;0;0;0;0;0;0;18;16;364;240;2085;541
