,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,,,
Date Counted,Notes/Possible Issues,Section Number and Depth,Roger's Depth(Original Field Depths),Indeterminate Conifer,Abies,Picea,Pinus,Pinus (white),Ephedra,Pseudotsuga,TCT,Juniperus/Cupressus,Tsuga mertensiana,Tsuga heterophylla,Acer,Acer negundo,Quercus,Q. chrysolepis/Q. vaccinifolia,Aesculus,Lithocarpus/Castanopsis,Fraxinus,Juglans,Garrya,Platanus,Fremontia,Rosaceae,Adenostoma,Cercocarpus,Rhamnaceae,Ceanothus,Cephalanthus,Sambucus,Shepherdia,Elaeagnus,Sanguisorba,Ribes,Purshia,Salix,Myrica,Corylus,Alnus,Artemisia,Ambrosia,Liguliflorae,Compositae HS,Compositae LS,Ericaceae,Linaceae,Cruciferae,Arceuthobium,Caryophyllaceae,Malvaceae,Liliaceae,Leguminosae,Onagraceae,Labiatae,Salvia,Eriogonum,Polygonum amphibium,Polygonum californica,Vitis,Rumex ,Plantago,Polemoniaceae,Navarettia,Ranunculaceae,Umbelliferae,Rubiaceae,Thalictrum,Rhus,Lonicera,Amaranthaceae,Sarcobatus,Poaceae,Cyperaceae,Typha latifolia,Typha/Sparganium,Potamogeton,Isoetes,Equisetum,Myriophyllum,Ruppia,Nuphar hydropotes,Nuphar,Brasenia,Menyanthes,Dryopteris,Polypodium,Pteridium,Botrychium,Athyrium,Polystichum,Selaginella,Trilete,Monolete,Colonial fungi,Coprophilous fungi,Unknown A,Unknown B,Unknown C,Unknown D,Unknown E,Unknown F,Indeterminate,Other unknowns,Zea,Lycopodium,APFAC,Sum of all pollen,,
September of 2018,"Cooked by Sheehan, Way more indeterminate. Not enoough pollen counted. 5 um and 149 micron sieve",CL12-1A-4H-2-30,9.43,7,,,25,,,,9,,,,,,62,,,,,3,,,,,,,,,,,,,,,,2,,,16,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,50,,31,,293,,
September of 2019,Roger/Marie Cook,CL12-1A-6H-2-134,16.85,5,,2,28,,,3,48,,,,2,,200,,,,5,,,,,,,,1,,,,,,,,,6,,,10,3,,,10,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,5,11,,3,1,3,,,,,,,,,,1,,,,,,,,,,,,,,,74,3,72,181,,426,,
September of 2019,Roger/Marie Cook,CL12--1A-7H-1-84,17.89,3,,5,37,,,,59,,,,1,,179,,,3,,,,,,,,,,,,,,,,,,12,,1,25,7,,,17,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,13,1,,6,3,,,,,,,,,,3,,,,,,,,,,,,,,,57,7,67,198,,444,,
November of 2018,"Roger/Marie Cook, learned Dryopteris for first time on this slide",CL12-1A-7H-2-84,18.91,,3,7,66,,,1,30,,,,,,140,,,7,3,,,,,1,,,1,,,,,,,,,10,,,23,,,,12,,,,,,,,,,,,,,,,,,,2,,2,2,,,,,3,,3,9,2,,,1,,,,11,,,,6,,6,,,,,,,,,,,,,,,28,22,285,211,,401,,
December of 2018,Roger/Marie Cook,CL12-1A-7H-3-34,19.31,,,5,84,,,2,51,,,,7,,275,,,2,13,,,,,,,,2,,,,,,,,,9,,4,31,5,,,13,,,,,,,,,,,,,,,,,,,,,1,,,,,,6,,,14,,,,1,,,,22,,,,9,,8,,,,,,,,,,,,,,,39,18,307,302,,621,,
March of 2019,Roger/Marie Cook,CL12-1A-7H-3-67,19.64,,3,7,97,,,3,62,,,,,,198,,,,3,,1,,,,,,2,,,,,,,,,2,,3,23,,,,11,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,9,1,,2,4,,,,18,,,,2,,,,,,,,,,,,,,,,,43,12,318,213,,511,,
April of 2018,Roger/Marie Cook,CL12-1A-7H-3-84,19.81,,4,5,97,,,5,53,,1,,,,152,,,,3,,,,,,,,2,,,,,,,,,2,,3,31,,,,7,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,7,13,6,,3,4,,,,29,,,,1,,,,,,,,,,,,,,,,,22,8,279,220,,460,,
September of 2019,Roger/Marie Cook,CL12-1A-8H-1-08,20.13,11,1,9,61,,,3,34,,1,,,,200,,,1,12,,2,,,,,,1,,,,,,,,,4,,1,45,5,,,11,,,,,,,,,,,,,,,,,,,1,,,1,,,,,2,,1,17,1,,1,13,,,,35,,,,,,10,1,,,,,,,,,,,,,,28,4,131,232,,517,,
March of 2019,Cooked in Berkeley with new Sheehan method. 10 and 153 micron sieve,CL12-1A-8H-1-22,20.27,,3,2,183,,,10,84,,2,1,,,129,,,,4,,2,,,,,,,,,,,,,,,2,,2,23,1,,,17,,,,,,,,,,,,,,,,,,,1,,,3,,,,,1,,2,1,4,,,2,,,,19,,,,,,1,,,,,,,,,,,,,,,45,10,,212,,554,,
